Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,order date (DateOrders)
1,0,57.29999924,304.8099976,Shipping canceled,0,73,Sporting Goods,Newark,01-12-2018 23:09
1,0,143.1600037,298.25,Late delivery,1,73,Sporting Goods,Panorama City,01-12-2018 22:48
1,0,135.6900024,294.980011,Late delivery,1,73,Sporting Goods,Caguas,01-12-2018 22:27
4,4,132.6699982,288.4200134,Shipping on time,0,73,Sporting Goods,Atlanta,01-12-2018 22:05
3,4,119.7600021,285.1400146,Advance shipping,0,73,Sporting Goods,Caguas,01-12-2018 21:44
2,4,31.47999954,278.5899963,Advance shipping,0,73,Sporting Goods,Fremont,01-12-2018 21:23
6,4,86.16999817,275.3099976,Late delivery,1,73,Sporting Goods,Caguas,01-12-2018 21:02
5,2,130.5800018,272.0299988,Late delivery,1,73,Sporting Goods,Rochester,01-12-2018 20:41
4,4,0,268.7600098,Shipping on time,0,73,Sporting Goods,Dallas,01-12-2018 20:20
5,2,-30.75,115.1800003,Late delivery,1,17,Cleats,Bayamon,2/24/2016 13:57
2,2,-122.7300034,79.18000031,Shipping on time,0,29,Shop By Sport,Caguas,10/25/2016 14:39
6,2,33.59999847,96,Late delivery,1,24,Women's Apparel,Caguas,3/30/2016 4:37
2,2,24.69000053,75.98000336,Shipping on time,0,29,Shop By Sport,Caguas,10/30/2016 1:31
3,2,9.100000381,91,Late delivery,1,24,Women's Apparel,Caguas,11/28/2016 1:18
5,2,-21.75,87,Late delivery,1,24,Women's Apparel,Caguas,12/31/2016 15:47
6,2,6.150000095,82,Late delivery,1,24,Women's Apparel,Caguas,10/25/2015 6:24
2,2,22.40999985,74.68000031,Shipping on time,0,13,Electronics,Caguas,06-11-2016 15:12
5,2,25.23999977,90.15000153,Late delivery,1,12,Boxing & MMA,Caguas,8/24/2016 21:45
6,2,30.5699997,117.5800018,Late delivery,1,17,Cleats,Caguas,4/13/2016 10:12
4,2,46.0699997,95.98000336,Late delivery,1,17,Cleats,Caguas,5/22/2016 14:10
2,2,-184.7799988,263.9700012,Shipping on time,0,9,Cardio Equipment,Caguas,10-04-2016 22:55
5,2,38.75,113.9700012,Late delivery,1,29,Shop By Sport,Caguas,11-08-2016 12:32
5,2,-3.650000095,63.99000168,Late delivery,1,41,Trade-In,Caguas,11-11-2016 05:21
5,2,38.22999954,79.66000366,Late delivery,1,37,Electronics,Caguas,12-08-2016 00:14
3,2,129.3500061,293.9700012,Late delivery,1,9,Cardio Equipment,Caguas,07-07-2015 05:31
2,2,132.2899933,269.9700012,Shipping on time,0,9,Cardio Equipment,Caguas,7/22/2017 7:16
6,2,76.04000092,224.9799957,Late delivery,1,9,Cardio Equipment,Caguas,08-07-2017 06:33
4,2,81.12999725,176.3699951,Late delivery,1,17,Cleats,Caguas,9/22/2015 7:41
2,2,43.52000046,167.3699951,Shipping on time,0,17,Cleats,Caguas,07-02-2017 09:03
3,2,68.77999878,163.7700043,Late delivery,1,17,Cleats,Caguas,09-08-2015 12:15
3,2,40.49000168,161.9700012,Late delivery,1,17,Cleats,Caguas,8/20/2017 7:03
2,2,20.93000031,139.5,Shipping on time,0,24,Women's Apparel,Caguas,7/22/2017 7:16
4,2,12.19999981,107.9700012,Late delivery,1,29,Shop By Sport,Caguas,08-04-2017 02:31
3,2,12.71000004,112.5,Late delivery,1,24,Women's Apparel,Caguas,9/18/2017 1:14
6,2,7.760000229,55.40999985,Late delivery,1,41,Trade-In,Caguas,07-02-2015 19:42
6,2,101.3899994,299.9700012,Late delivery,1,9,Cardio Equipment,Caguas,3/28/2015 0:55
5,2,-285.0700073,178.1699982,Late delivery,1,17,Cleats,Caguas,04-02-2017 16:43
4,2,42.74000168,170.9700012,Late delivery,1,17,Cleats,Caguas,05-05-2017 14:23
5,2,49.3199997,170.0700073,Late delivery,1,17,Cleats,Caguas,4/25/2015 4:44
5,2,80.33999634,167.3699951,Late delivery,1,17,Cleats,Caguas,4/25/2015 1:14
5,2,-26.69000053,163.7700043,Late delivery,1,17,Cleats,Caguas,4/25/2015 1:14
3,2,-117.3300018,152.9700012,Late delivery,1,17,Cleats,Caguas,06-06-2017 15:03
4,2,47.88000107,152.9700012,Late delivery,1,17,Cleats,Caguas,2/18/2017 16:36
4,2,72,150,Late delivery,1,24,Women's Apparel,Caguas,4/26/2015 3:10
4,2,29.94000053,115.1699982,Late delivery,1,29,Shop By Sport,Caguas,04-10-2015 00:02
4,2,23.46999931,144,Late delivery,1,24,Women's Apparel,Caguas,04-11-2017 15:49
5,2,68.40000153,142.5,Late delivery,1,24,Women's Apparel,Caguas,4/25/2015 4:44
6,2,43.65999985,139.5,Late delivery,1,24,Women's Apparel,Caguas,3/16/2017 2:54
2,2,13.19999981,132,Shipping on time,0,24,Women's Apparel,Caguas,3/29/2015 10:33
4,2,46.20000076,132,Late delivery,1,24,Women's Apparel,Caguas,02-03-2015 00:28
4,2,10.43999958,130.5,Late delivery,1,24,Women's Apparel,Caguas,02-03-2015 00:28
4,2,15.56000042,124.5,Late delivery,1,24,Women's Apparel,Caguas,2/18/2017 13:05
4,2,32.86000061,99.58000183,Late delivery,1,29,Shop By Sport,Caguas,1/18/2017 19:37
5,4,9.600000381,240,Late delivery,1,24,Women's Apparel,Caguas,3/13/2015 18:59
6,4,55.09000015,189.9499969,Late delivery,1,29,Shop By Sport,Caguas,02-07-2017 09:47
4,4,68.58999634,188.9499969,Shipping on time,0,29,Shop By Sport,Caguas,04-03-2015 19:08
2,4,51.97999954,236.25,Advance shipping,0,24,Women's Apparel,Caguas,4/13/2017 14:25
6,4,-23.62999916,236.25,Late delivery,1,24,Women's Apparel,Caguas,04-02-2015 03:33
2,4,66.88999939,136.5,Advance shipping,0,29,Shop By Sport,Caguas,1/31/2017 11:43
3,4,11.46000004,181.9499969,Advance shipping,0,29,Shop By Sport,Caguas,3/30/2017 23:12
5,4,22.5,225,Late delivery,1,24,Women's Apparel,Caguas,3/25/2017 23:02
4,4,67.5,225,Shipping on time,0,24,Women's Apparel,Caguas,02-05-2017 01:01
3,4,78.27999878,173.9600067,Advance shipping,0,29,Shop By Sport,Guayama,4/15/2017 14:04
3,4,104.4000015,217.5,Advance shipping,0,24,Women's Apparel,Caguas,2/15/2015 18:40
3,4,47.84999847,217.5,Advance shipping,0,24,Women's Apparel,Caguas,5/27/2017 16:48
4,4,44.18999863,169.9600067,Shipping on time,0,29,Shop By Sport,Caguas,2/25/2015 20:46
2,4,8.5,212.5,Advance shipping,0,24,Women's Apparel,Caguas,5/31/2017 11:33
4,4,83.98000336,167.9600067,Shipping on time,0,29,Shop By Sport,Caguas,1/15/2015 4:32
5,4,70.13999939,207.5,Late delivery,1,24,Women's Apparel,Caguas,4/26/2017 15:16
6,4,72.62999725,207.5,Late delivery,1,24,Women's Apparel,Caguas,03-07-2017 19:12
4,4,-140,200,Shipping on time,0,24,Women's Apparel,Caguas,4/20/2017 18:47
5,4,-32.59999847,200,Late delivery,1,24,Women's Apparel,Caguas,03-03-2017 06:14
4,4,68.98000336,149.9600067,Shipping on time,0,29,Shop By Sport,Caguas,06-04-2017 16:06
3,4,-11.81000042,187.5,Advance shipping,0,24,Women's Apparel,Juana Diaz,5/16/2017 21:33
6,4,52.5,187.5,Late delivery,1,24,Women's Apparel,Caguas,02-07-2017 09:47
3,4,91.87999725,187.5,Advance shipping,0,24,Women's Apparel,Caguas,5/27/2015 1:32
5,4,29.69000053,237.5500031,Late delivery,1,37,Electronics,Caguas,3/28/2017 5:20
4,4,73.69999695,153.5500031,Shipping on time,0,37,Electronics,Caguas,02-05-2017 01:01
6,4,-79.19000244,395.9599915,Late delivery,1,38,Kids' Golf Clubs,Guayama,05-02-2017 03:00
4,4,34.84999847,124.4599991,Shipping on time,0,44,Hunting & Shooting,Caguas,04-03-2017 23:53
2,4,74.08999634,284.9500122,Advance shipping,0,3,Baseball & Softball,Caguas,4/30/2015 23:49
5,4,149.9900055,499.9500122,Late delivery,1,9,Cardio Equipment,Caguas,4/27/2017 3:32
4,4,-18.80999947,494.9500122,Shipping on time,0,9,Cardio Equipment,Caguas,02-02-2015 03:27
5,4,140.6399994,484.9500122,Late delivery,1,9,Cardio Equipment,Caguas,2/13/2017 16:05
2,4,36,479.9500122,Advance shipping,0,9,Cardio Equipment,Caguas,5/27/2017 23:28
5,4,179.9799957,479.9500122,Late delivery,1,9,Cardio Equipment,Caguas,3/19/2017 19:53
4,4,-783.6699829,474.9500122,Shipping on time,0,9,Cardio Equipment,Caguas,05-07-2015 15:56
6,4,199.4799957,474.9500122,Late delivery,1,9,Cardio Equipment,Caguas,4/27/2015 11:23
6,4,-269.9700012,449.9599915,Late delivery,1,9,Cardio Equipment,Caguas,4/14/2017 18:06
2,4,-22.5,449.9599915,Advance shipping,0,9,Cardio Equipment,Caguas,05-07-2015 01:13
3,4,59.06000137,337.4599915,Advance shipping,0,12,Boxing & MMA,Caguas,06-12-2017 05:55
2,4,140.9799957,299.9500122,Advance shipping,0,17,Cleats,Caguas,3/26/2017 15:30
2,4,81.66000366,296.9500122,Advance shipping,0,17,Cleats,Caguas,2/17/2017 11:52
6,4,18.40999985,296.9500122,Late delivery,1,17,Cleats,Caguas,1/25/2017 1:13
3,4,33.22000122,293.9500122,Advance shipping,0,17,Cleats,Caguas,02-06-2017 06:27
5,4,25.30999947,290.9500122,Late delivery,1,17,Cleats,Caguas,5/22/2017 6:08
5,4,-239.8600006,287.9500122,Late delivery,1,17,Cleats,Caguas,2/21/2017 1:00
5,4,-155.8999939,283.4500122,Late delivery,1,17,Cleats,Caguas,01-06-2015 19:26
6,2,40.02000046,86.98999786,Late delivery,1,9,Cardio Equipment,Caguas,1/15/2017 4:44
6,2,44.59000015,127.3899994,Late delivery,1,18,Men's Footwear,Caguas,10/28/2016 19:23
3,2,57.95999908,118.2900009,Late delivery,1,18,Men's Footwear,Caguas,9/19/2016 13:39
5,2,30.42000008,116.9899979,Late delivery,1,18,Men's Footwear,Caguas,8/25/2016 22:16
6,2,24.60000038,49.18999863,Late delivery,1,17,Cleats,Caguas,10/28/2016 19:23
4,2,48.88000107,103.9899979,Late delivery,1,18,Men's Footwear,Caguas,10-07-2016 23:26
4,2,0,296.980011,Late delivery,1,43,Camping & Hiking,Caguas,11-03-2016 21:49
5,2,95.54000092,293.980011,Late delivery,1,43,Camping & Hiking,Caguas,8/25/2016 22:16
3,2,-50.58000183,252.8800049,Late delivery,1,65,Consumer Electronics,Caguas,11-03-2017 13:05
4,2,120.8300018,447.519989,Late delivery,1,62,Cameras ,Caguas,10/14/2017 11:42
3,2,25.04000092,250.3500061,Late delivery,1,65,Consumer Electronics,Caguas,11-04-2017 01:21
6,2,212.6399994,443,Late delivery,1,62,Cameras ,Caguas,10/16/2017 1:12
3,2,68.68000031,245.2899933,Late delivery,1,65,Consumer Electronics,Caguas,11-03-2017 18:20
6,2,135.8300018,433.9599915,Late delivery,1,62,Cameras ,Caguas,10/13/2017 3:08
6,2,78.08000183,240.2400055,Late delivery,1,65,Consumer Electronics,Caguas,11-02-2017 10:06
5,2,595.3499756,1417.5,Late delivery,1,64,Computers,Caguas,10/29/2017 12:55
2,2,21.36000061,427.1799927,Shipping on time,0,62,Cameras ,Caguas,10/13/2017 8:44
3,2,213.5899963,427.1799927,Late delivery,1,62,Cameras ,Caguas,10-11-2017 06:17
5,2,55.79999924,1395,Late delivery,1,64,Computers,Caguas,10/30/2017 1:10
4,2,126.1200027,420.3999939,Late delivery,1,62,Cameras ,Caguas,10/13/2017 14:41
2,2,6.900000095,230.1199951,Shipping on time,0,65,Consumer Electronics,Caguas,11-03-2017 03:58
4,2,-277.6700134,411.3599854,Late delivery,1,62,Cameras ,Caguas,10-10-2017 04:21
4,2,105.8600006,230.1199951,Late delivery,1,65,Consumer Electronics,Caguas,11-04-2017 05:12
5,2,86,1365,Late delivery,1,64,Computers,Caguas,10/26/2017 14:51
2,2,195.2799988,406.8399963,Shipping on time,0,62,Cameras ,Caguas,10/13/2017 13:59
6,2,22.76000023,227.5899963,Late delivery,1,65,Consumer Electronics,Caguas,11-01-2017 20:05
4,2,180.5899963,384.230011,Late delivery,1,62,Cameras ,Caguas,10/17/2017 11:32
3,2,101.0299988,214.9499969,Late delivery,1,65,Consumer Electronics,Caguas,11-01-2017 19:02
3,2,118.8499985,379.7099915,Late delivery,1,62,Cameras ,Caguas,10/13/2017 12:35
6,2,60.86999893,209.8899994,Late delivery,1,65,Consumer Electronics,Caguas,11-01-2017 18:20
5,2,73.45999908,209.8899994,Late delivery,1,65,Consumer Electronics,Caguas,11-01-2017 05:44
5,2,39.88000107,209.8899994,Late delivery,1,65,Consumer Electronics,Caguas,11-02-2017 13:15
4,2,177.9199982,370.6700134,Late delivery,1,62,Cameras ,Caguas,10/13/2017 18:11
3,2,129.7400055,370.6700134,Late delivery,1,62,Cameras ,Caguas,10-11-2017 22:03
6,2,62.20999908,207.3600006,Late delivery,1,65,Consumer Electronics,Caguas,11-03-2017 14:08
5,2,90,1200,Late delivery,1,64,Computers,Caguas,10/26/2017 18:21
2,2,118.6600037,339.0299988,Shipping on time,0,62,Cameras ,Caguas,10-11-2017 02:26
5,2,415.7999878,989.9899902,Late delivery,1,4,Basketball,Caguas,10-02-2017 11:01
5,2,8.619999886,78.38999939,Late delivery,1,2,Soccer,Caguas,09-08-2017 03:42
6,2,16.34000015,52.18999863,Late delivery,1,3,Baseball & Softball,Caguas,9/17/2015 23:17
4,2,12.52999973,43.18999863,Late delivery,1,13,Electronics,Caguas,10-02-2015 07:40
5,2,25.92000008,95.98999786,Late delivery,1,9,Cardio Equipment,Caguas,08-08-2017 10:13
4,2,-13.57999992,94.98999786,Late delivery,1,9,Cardio Equipment,Caguas,8/17/2015 18:35
4,2,10.03999996,41.84000015,Late delivery,1,13,Electronics,Caguas,9/23/2015 9:57
5,2,10.80000019,89.98999786,Late delivery,1,9,Cardio Equipment,Caguas,10/23/2015 8:31
5,2,16.71999931,87.98999786,Late delivery,1,9,Cardio Equipment,Caguas,07-11-2015 18:49
5,4,28.85000038,128.2200012,Shipping canceled,0,13,Electronics,Freeport,05-08-2016 17:42
5,4,133.9100037,278.9700012,Shipping canceled,0,9,Cardio Equipment,Fort Washington,04-02-2016 19:51
6,4,79.16000366,272.9700012,Shipping canceled,0,9,Cardio Equipment,Bakersfield,8/14/2016 2:51
5,4,19.11000061,272.9700012,Shipping canceled,0,9,Cardio Equipment,Fort Washington,04-02-2016 19:51
2,4,10.77000046,170.9700012,Shipping canceled,0,17,Cleats,Corona,5/18/2016 16:38
3,4,-284.5299988,167.3699951,Shipping canceled,0,17,Cleats,Cincinnati,05-05-2016 13:40
3,4,69.68000031,158.3699951,Shipping canceled,0,17,Cleats,Germantown,4/21/2016 2:50
2,4,7.480000019,118.7699966,Shipping canceled,0,29,Shop By Sport,Carrollton,07-01-2016 08:10
3,4,11.02999973,73.5,Shipping canceled,0,26,Girls' Apparel,Germantown,4/21/2016 2:50
6,4,-24.8199997,132,Shipping canceled,0,24,Women's Apparel,Houston,12/17/2016 8:48
5,4,33,132,Shipping canceled,0,24,Women's Apparel,Freeport,05-08-2016 17:42
6,4,36.54000092,130.5,Shipping canceled,0,24,Women's Apparel,Houston,12/17/2016 8:48
4,4,-76.37000275,99.58000183,Shipping canceled,0,29,Shop By Sport,Carlisle,8/30/2016 14:02
2,4,8.760000229,99.58000183,Shipping canceled,0,29,Shop By Sport,Los Angeles,7/27/2016 6:01
4,4,36.36999893,74.22000122,Shipping canceled,0,40,Accessories,Ewa Beach,7/17/2016 10:14
6,4,18.12999916,40.29000092,Shipping canceled,0,41,Trade-In,Lakewood,07-06-2016 10:26
2,4,-12.98999977,227.9600067,Shipping canceled,0,17,Cleats,Rome,09-09-2016 22:05
6,4,74.04000092,203.9700012,Shipping canceled,0,17,Cleats,Vista,8/26/2016 12:38
4,4,90,200,Shipping canceled,0,24,Women's Apparel,Fort Worth,1/16/2017 22:04
4,4,-2.190000057,156.7599945,Shipping canceled,0,29,Shop By Sport,Fort Worth,1/16/2017 22:04
5,4,85.05000305,189,Shipping canceled,0,24,Women's Apparel,Fond Du Lac,9/28/2016 10:19
2,4,3.039999962,79.97000122,Shipping canceled,0,40,Accessories,Philadelphia,09-03-2016 15:26
2,4,-266.7900085,363.9599915,Advance shipping,0,9,Cardio Equipment,Ontario,9/16/2016 1:13
4,4,64.79000092,239.9600067,Shipping on time,0,17,Cleats,Oviedo,10/20/2016 3:59
5,4,83.62000275,230.3600006,Late delivery,1,17,Cleats,Buffalo,01-07-2017 00:11
5,4,74.08999634,227.9600067,Late delivery,1,17,Cleats,Honolulu,10-10-2016 06:06
2,4,92.97000122,226.7599945,Advance shipping,0,17,Cleats,Oceanside,09-06-2016 13:30
5,4,70.55999756,208.7700043,Late delivery,1,17,Cleats,North Tonawanda,01-06-2017 01:25
6,4,96,200,Late delivery,1,24,Women's Apparel,Clovis,12/28/2016 7:33
5,4,-145.1300049,198,Late delivery,1,24,Women's Apparel,Jamaica,8/25/2016 18:46
4,4,45,155.1600037,Shipping on time,0,29,Shop By Sport,Granite City,09-05-2016 10:10
5,4,51.09000015,151.1600037,Late delivery,1,29,Shop By Sport,Medford,11/28/2016 9:00
3,4,31.25,111.5999985,Advance shipping,0,26,Girls' Apparel,Pomona,09-02-2016 13:30
4,4,-459,170,Shipping on time,0,24,Women's Apparel,Tempe,11/19/2016 21:27
2,4,-248,160,Advance shipping,0,24,Women's Apparel,Santa Ana,9/14/2016 5:26
5,4,13.19999981,150,Late delivery,1,24,Women's Apparel,York,11-05-2016 09:13
4,4,46.29000092,94.45999908,Shipping on time,0,40,Accessories,Aurora,12-08-2016 12:08
5,4,182.1399994,395.9599915,Late delivery,1,9,Cardio Equipment,Simi Valley,1/14/2017 14:22
5,4,-261.4400024,391.9599915,Late delivery,1,9,Cardio Equipment,Silver Spring,11-05-2016 19:43
3,4,178.5800018,379.9599915,Advance shipping,0,9,Cardio Equipment,Saint Paul,9/17/2016 23:07
3,4,167.4199982,363.9599915,Advance shipping,0,9,Cardio Equipment,San Antonio,11/14/2016 13:14
5,4,-76.66999817,359.9599915,Late delivery,1,9,Cardio Equipment,Philadelphia,12-11-2016 15:49
5,4,165.4199982,351.9599915,Late delivery,1,9,Cardio Equipment,Philadelphia,12-11-2016 15:49
2,4,-82.01000214,351.9599915,Advance shipping,0,9,Cardio Equipment,Philadelphia,11-08-2016 13:14
4,4,91.79000092,339.9700012,Shipping on time,0,9,Cardio Equipment,Bronx,11/22/2016 2:00
2,4,40.56000137,124.7900009,Advance shipping,0,18,Men's Footwear,Greenville,8/31/2016 12:06
2,4,41.18000031,124.7900009,Advance shipping,0,18,Men's Footwear,Morristown,09-03-2016 13:41
4,4,27.36000061,56.99000168,Shipping on time,0,17,Cleats,San Diego,2/16/2016 4:09
3,4,26.05999947,123.4899979,Advance shipping,0,18,Men's Footwear,Oxnard,12/31/2015 19:27
2,4,32.47999954,123.4899979,Advance shipping,0,18,Men's Footwear,Miami,3/26/2016 8:07
5,4,35.81000137,123.4899979,Late delivery,1,18,Men's Footwear,Albuquerque,01-02-2016 00:11
6,4,102.5100021,205.0299988,Late delivery,1,76,Women's Clothing,Amarillo,1/27/2018 2:38
4,4,15.43999958,123.4899979,Shipping on time,0,18,Men's Footwear,Lutz,01-03-2016 07:22
2,4,4.570000172,123.4899979,Advance shipping,0,18,Men's Footwear,Bend,2/14/2016 5:54
5,4,61.75,123.4899979,Late delivery,1,18,Men's Footwear,East Brunswick,11/28/2015 1:06
6,4,38.65000153,123.4899979,Late delivery,1,18,Men's Footwear,Lancaster,12-11-2015 15:17
4,4,14.25,56.99000168,Shipping on time,0,17,Cleats,Ontario,9/17/2016 4:12
2,4,-6.170000076,123.4899979,Advance shipping,0,18,Men's Footwear,Morristown,09-03-2016 13:41
4,4,20.12999916,123.4899979,Shipping on time,0,18,Men's Footwear,Houston,12-12-2016 01:59
4,4,54.34000015,123.4899979,Shipping on time,0,18,Men's Footwear,Hampton,10/28/2016 15:11
2,4,43.61000061,436.1000061,Advance shipping,0,66,Crafts,New York,12/27/2017 20:01
4,4,42.99000168,122.8399963,Shipping on time,0,18,Men's Footwear,Porterville,02-12-2016 12:34
3,4,19.84000015,56.68999863,Advance shipping,0,17,Cleats,Portland,3/15/2016 7:58
2,4,54.04999924,122.8399963,Advance shipping,0,18,Men's Footwear,Strongsville,3/28/2016 0:25
4,4,-184.2599945,122.8399963,Shipping on time,0,18,Men's Footwear,El Paso,3/14/2016 20:03
5,4,39.91999817,122.8399963,Late delivery,1,18,Men's Footwear,Del Rio,11/18/2015 9:53
6,4,41.52000046,122.8399963,Late delivery,1,18,Men's Footwear,Buffalo,12/20/2015 16:29
4,4,9.210000038,122.8399963,Shipping on time,0,18,Men's Footwear,Houston,12-12-2016 01:59
4,4,12.27999973,122.8399963,Shipping on time,0,18,Men's Footwear,Bountiful,09-10-2016 05:47
4,4,36.84999847,122.8399963,Shipping on time,0,18,Men's Footwear,Hampton,10/28/2016 15:11
5,4,60.45000076,120.8899994,Late delivery,1,18,Men's Footwear,Kent,09-07-2016 01:04
3,4,-29.37999916,120.8899994,Advance shipping,0,18,Men's Footwear,Chicago,11-11-2015 03:45
3,4,15.10999966,120.8899994,Advance shipping,0,18,Men's Footwear,Plymouth,12/13/2015 22:17
4,4,-105.7799988,120.8899994,Shipping on time,0,18,Men's Footwear,Far Rockaway,01-07-2016 05:57
4,4,72.86000061,200.7100067,Shipping on time,0,76,Women's Clothing,Houston,12/14/2017 15:39
6,4,26.78000069,55.79000092,Late delivery,1,17,Cleats,Philadelphia,3/15/2016 3:45
3,4,31.79000092,120.8899994,Advance shipping,0,18,Men's Footwear,Simi Valley,3/16/2016 10:14
4,4,7.619999886,120.8899994,Shipping on time,0,18,Men's Footwear,Detroit,02-06-2016 02:25
2,4,62.8199997,200.7100067,Advance shipping,0,76,Women's Clothing,Garden Grove,1/28/2018 15:46
4,4,-187.3800049,120.8899994,Shipping on time,0,18,Men's Footwear,San Diego,12/18/2015 5:59
5,4,31.43000031,120.8899994,Late delivery,1,18,Men's Footwear,Chicago,1/17/2017 12:26
5,4,-140.5,200.7100067,Late delivery,1,76,Women's Clothing,Placentia,12/13/2017 20:44
4,4,37.77000046,429.1799927,Shipping on time,0,66,Crafts,San Jose,12/26/2017 18:26
2,4,-193.4299927,120.8899994,Advance shipping,0,18,Men's Footwear,Honolulu,1/27/2016 12:14
3,4,76.26999664,200.7100067,Advance shipping,0,76,Women's Clothing,Mentor,1/30/2018 11:54
4,4,12.09000015,120.8899994,Shipping on time,0,18,Men's Footwear,Santa Clara,8/30/2016 8:47
5,4,32.63999939,120.8899994,Late delivery,1,18,Men's Footwear,Union,11/17/2016 4:59
2,4,24.84000015,118.2900009,Advance shipping,0,18,Men's Footwear,Long Beach,12/29/2016 15:26
2,4,6.170000076,54.59000015,Advance shipping,0,17,Cleats,Westminster,03-10-2016 04:59
4,4,94.01999664,191.8699951,Shipping on time,0,70,Men's Clothing,Pompano Beach,11/24/2017 19:11
4,4,22.5,225,Shipping on time,0,24,Women's Apparel,Azusa,12-10-2016 13:11
2,4,15.39999962,220,Advance shipping,0,24,Women's Apparel,Fort Lauderdale,10/26/2016 6:25
3,4,52.18999863,173.9600067,Advance shipping,0,29,Shop By Sport,San Antonio,10/19/2016 6:36
4,4,84.98000336,169.9600067,Shipping on time,0,29,Shop By Sport,Princeton,11-06-2016 23:24
6,4,65.73000336,210,Late delivery,1,24,Women's Apparel,Perth Amboy,9/29/2016 16:27
4,4,70.13999939,207.5,Shipping on time,0,24,Women's Apparel,Miami,09-03-2016 12:38
